ds,sales,sale_1,sale_2,sale_3,promo_1,promo_2,promo_3,promo_4,fd
2015/1/1,"78,158",1,1,1,0,0,0,0,0
2015/1/2,"84,475",1,1,1,0,0,0,0,0
2015/1/3,"74,434",1,1,1,0,0,0,0,0
2015/1/4,"80,602",1,1,1,0,0,0,0,0
2015/1/5,"97,679",1,1,1,0,0,0,0,0
2015/1/6,"102,097",1,1,1,0,0,0,0,0
2015/1/7,"76,973",1,1,1,0,0,0,0,0
2015/1/8,"73,523",1,1,1,0,0,0,0,0
2015/1/9,"64,720",1,1,1,0,0,0,0,0
2015/1/10,"110,076",1,1,1,0,0,0,0,0
2015/1/11,"80,186",1,1,1,0,0,0,0,0
2015/1/12,"78,287",1,1,1,0,0,0,0,0
2015/1/13,"86,393",1,1,1,0,0,0,0,0
2015/1/14,"132,296",1,1,1,0,0,0,0,0
2015/1/15,"198,571",1,1,1,0,0,0,0,0
2015/1/16,"198,098",1,1,1,0,0,0,0,0
2015/1/17,"135,880",1,1,1,0,0,0,0,0
2015/1/18,"140,237",1,1,1,0,0,0,0,0
2015/1/19,"73,555",1,1,1,0,0,0,0,0
2015/1/20,"456,608",1,1,1,0,0,1,0,1
2015/1/21,"334,493",1,1,1,0,0,1,0,0
2015/1/22,"362,692",1,1,1,0,0,1,0,0
2015/1/23,"173,888",1,1,1,0,0,1,0,0
2015/1/24,"58,131",1,1,1,0,0,0,0,0
2015/1/25,"97,609",1,1,1,0,0,0,0,0
2015/1/26,"96,130",1,1,1,0,0,0,0,0
2015/1/27,"192,241",1,1,1,0,0,0,0,0
2015/1/28,"127,885",1,1,1,0,0,0,0,0
2015/1/29,"155,195",1,1,1,0,0,0,0,0
2015/1/30,"172,673",1,1,1,0,0,0,0,0
2015/1/31,"197,566",0,0,0,0,0,0,0,0
2015/2/1,"318,040",0,0,0,0,0,0,0,0
2015/2/2,"107,341",0,0,0,0,0,0,0,0
2015/2/3,"329,042",0,0,0,0,0,0,0,0
2015/2/4,"197,949",0,0,0,0,0,0,0,0
2015/2/5,"175,518",0,0,0,0,0,0,0,0
2015/2/6,"233,749",0,0,0,0,0,0,0,0
2015/2/7,"236,162",0,0,0,0,0,0,0,0
2015/2/8,"154,543",0,0,0,0,0,0,0,0
2015/2/9,"88,050",0,0,0,0,0,0,0,0
2015/2/10,"140,179",0,0,0,0,0,0,0,0
2015/2/11,"170,162",0,0,0,0,0,0,0,0
2015/2/12,"182,962",0,0,0,0,0,0,0,0
2015/2/13,"113,191",0,0,0,0,0,0,0,0
2015/2/14,"115,495",0,0,0,0,0,0,0,0
2015/2/15,"111,738",0,0,0,0,0,0,0,0
